,country,description,designation,points,price,province,variety
11672,Austria,"There is just a touch of wood in this rich and concentrated wine. It brings out the smoothness of the Chardonnay in the blend and adds notes of spice. It's a full, ripe that's still elegant and fresh from crisp acidity on the finish. Age this wine, and drink after 2015. Screwcap.",Ortolan Cuvée Prestige,93,25,Niederösterreich,Austrian white blend
14967,Austria,"This is an off-dry blend of Zierfandler, Rotgipfler and Neuburger—grapes local to the Thermenregion. This wine is now mature but certainly not old. It has mushroom and spice flavors that are lifted by currant acidity that still cuts through the wine.",Solist,89,110,Thermenregion,Austrian white blend
16190,Austria,"Perfumed and spicy, this has fine acidity and a light texture. The wine is bright and crisp, with flavors of pears mingling with green apples. Screwcap.",Cool Climate,88,15,Niederösterreich,Austrian white blend
16518,Austria,"This is a complex, rounded wine. It's texture is soft, rich and creamy, layering acidity with ripe flavors of apple and pear. It could age for 1–2 years.",Edition Adele Blanc de Blancs,88,25,Österreichischer Sekt,Austrian white blend
17954,Austria,"This is a ripe, full-in-the-mouth wine. The creamed pear and citrus flavors are delicious. It has poise and an intense fruitiness. Drink now. Screwcap.",Vorgeschmack,86,,Niederösterreich,Austrian white blend
18364,Austria,"Bright and attractively fruity, this has pear and green apple flavors, with a lemon zest tang. Drink over the next year. Screwcap.",Trie White,85,15,Burgenland,Austrian white blend
22307,Austria,"The Nussberg vineyard towering above the western edge of Vienna is famed for its field blend Gemischter Satz (mixed varieties). Fritz Wieninger has produced a wine that perfectly balances opulence with minerality. Rich fruits march with citrus and finish with structure, and the potential to age.",Nussberg Alte Reben Gemischter Satz,93,40,Vienna,Austrian white blend
22410,Austria,"Rich wine, a blend dominated by the rare Rotgipfler and Zierfandler, with great ripe layers of tropical fruits, peach and spice, perfectly balanced with full acidity. Fred Loimer of the Kamptal also produces this Schellmann brand in the Thermenregion, with concentrated dense and deliciously ripe wines. Screw cap.",Schelllmann Gumpoldskirchen Cuvée,92,,Thermenregion,Austrian white blend
22970,Austria,"A sophisticated wine that shows richness, creamy character and a fine, crisp toast edge. The fruit is packed with pear and apricot flavors, but is well integrated into a richer, more mature character.",Cuvée Prestige Brut,89,,Österreichischer Sekt,Austrian white blend
23216,Austria,"The typical field blend from Vienna, full and deliciously spicy. It has elegance and style, a wine that waltzes across the palate, offering hints of lychee, pear and crisp citrus all finely integrated by tangy acidity. Screw cap.",Wiener Gemischter Satz,88,18,Vienna,Austrian white blend
23339,Austria,"This field blend from the Nussdorf vineyard on the slopes above Vienna is a typical light, crisp wine. It has lively apple flavors, touched with some spice and a bright aftertaste. Screw cap.",Wiener Nussdorf Gemischter Satz,87,15,Vienna,Austrian white blend
26749,Austria,"Showing apricot and honey flavors with a refreshing dash of lemon acidity, this is an intensely sweet and rich wine. The texture is smooth, mellifluous, the dryness of botrytis providing just the right contrast. For aging over many years.",Cuvée Trockenbeerenauslese,93,69,Burgenland,Austrian white blend
26794,Austria,"With the heart-stopping acidity and intensity of an ice wine, this is an orange marmalade- and honey-flavored wine. It has a poised freshness to go with that great fruit flavor, delicious to drink now but sure to age.",Cuvée Eiswein,93,60,Burgenland,Austrian white blend
26989,Austria,"As much rich as sweet, this is a honey- and dry botrytis-flavored wine, with tropical mango flavors complementing lemon acidity. It's a complex, intense wine, textured and ageworthy. Screwcap.",Cuvée Beerenauslese,90,35,Burgenland,Austrian white blend
27758,Austria,"Zestiness pervades nose and palate: this is so citric and fresh that grapefruit peel is the chief marker. This typical Thermenregion blend of its two indigenous white grapes, Zierfandler and Rotgipfler, shows briskness throughout and will deliver welcome, clean-cut refreshment on a hot day. Drink soon.",Klassik,88,20,Thermenregion,Austrian white blend
28942,Austria,"For a Beerenauslese this is more rich than sweet. It is very spicy and dry at the core with peppered pear flavors. It's powerful and concentrated, needing aging. Drink from 2017.",Beerenauslese,89,,Burgenland,Austrian white blend
29618,Austria,"Melon, yellow apple, yeast and celery swirl on nose and palate, creating a savory, spicy vortex. Nuances of watercress and something even more savory, like lovage, lurk in fruity ripeness. Take time over this lovely, original wine and it will reveal almost all its secrets. The length is wonderful and apple-scented.",Bisamberg,90,35,Wiener Gemischter Satz,Austrian white blend
29762,Austria,"There is just a touch of wood in this rich and concentrated wine. It brings out the smoothness of the Chardonnay in the blend and adds notes of spice. It's a full, ripe that's still elegant and fresh from crisp acidity on the finish. Age this wine, and drink after 2015. Screwcap.",Ortolan Cuvée Prestige,93,25,Niederösterreich,Austrian white blend
30202,Austria,"Austrians seem challenged to produce exotic blends. This wine with Riesling, Furmint and Sauvignon Blanc together, is an intriguing example. It is as rich, powerful and full-bodied. It is opulent in texture, and now mature.",Ruster Ausbruch,88,,Burgenland,Austrian white blend
30327,Austria,"Ripe apple flavors are pervaded by yeasty richness. The palate is more slender than the nose at first suggests and is made more lively by tight, spritzy acidity. Yeasty notes give an added earthiness and beautifully long finish.",Nussberg,89,35,Wiener Gemischter Satz,Austrian white blend
33631,Austria,"Essenz is the style of wine given to sick emperors as the ultimate medicine. It certainly has a life-giving character, the distillation of noble rot berries, honeyed and intensely texture. The wine has a pure feel, sustained by final acidity. Drink now or age for many years.",Saziani Essenz Trockenbeerenauslese,94,,Südoststeiermark,Austrian white blend
34606,Austria,"A blend of local grapes (Zierfandler and Rotgipfler) this is impressive. Rich, perfumed, its fragrant fruits a medley of mulberry, pear and spiced apple. The acidity cuts right through, giving a wine that is both very ripe, balanced and finely textured. Screwcap.",Schell Mann in Gumpoldskirchen,92,24,Thermenregion,Austrian white blend
34905,Austria,"A blend of Sauvignon Blanc and Sämling, this gold straw colored wine is about freshness and acidity as much as about sweetness. That gives this ageworthy wine a great delicacy and poise, balanced and fresh, the honey botrytis texture attractively layered through this delicious wine.",Trockenbeerenauslese Essenz,92,35,Burgenland,Austrian white blend
36398,Austria,"From grapes picked in February 2012, this light, delicate wine is still young, still finding its balanced acidity and fruit. It has a soft, almost gentle fruit and honey character that hides the intense acidity. It needs several years' aging.",Eiswein Exquisit,90,40,Burgenland,Austrian white blend
36656,Austria,"The typical field blend from Vienna, full and deliciously spicy. It has elegance and style, a wine that waltzes across the palate, offering hints of lychee, pear and crisp citrus all finely integrated by tangy acidity. Screw cap.",Wiener Gemischter Satz,88,18,Vienna,Austrian white blend
37289,Austria,"This field blend from the Nussdorf vineyard on the slopes above Vienna is a typical light, crisp wine. It has lively apple flavors, touched with some spice and a bright aftertaste. Screw cap.",Wiener Nussdorf Gemischter Satz,87,15,Vienna,Austrian white blend
37780,Austria,"Aromas are all of honey, while on the palate the honey balances with acidity, rhubarb and candied orange flavors giving a wine that is rich while still keeping lightness. For medium-term aging.",Beerenauslese Exquisit,89,23,Burgenland,Austrian white blend
38984,Austria,"Sweet and dry, this is a wine that shows its botrytis fruit character right up front. That's paired with orange marmalade and honey to give richness. The finish is light and crisp with acidity.",Beerenauslese,88,,Burgenland,Austrian white blend
40220,Austria,"Lovage, ripe pear and a yeasty undertone speak separately before uniting into a mellow, food-friendly, concentrated but streamlined white. There is lots of subtly spiced midpalate interest to linger over. This cries out for food, especially soft cheeses.",Wiener Gemischter Satz,90,,Vienna,Austrian white blend
40456,Austria,"Green pear and flinty smoke announce a clean, mineral and linear palate. Slender and poised, it wins you over with a softer, textural core. It refreshes and soothes in equal measure and echoes with satisfying length.",Wiener Gemischter Satz,90,20,Vienna,Austrian white blend
41076,Austria,"Creamy pear and aloe vera act like a cooling cushion for fresh, zesty acidity. This is lively, tight and not for faint hearts, but totally rewarding with its uncompromising refreshment.",Wiener Gemischter Satz,90,,Vienna,Austrian white blend
41091,Austria,"The scent of ripe, red-cheeked apples perfumes this tight and linear offering. It refreshes with almost spritzy lemon peel and comes across as a zippy but concentrated summer wine.",Gemischter Satz,89,21,Niederösterreich,Austrian white blend
41698,Austria,"Restrained ripeness does not make this an obvious wine, but it comes towards you if you spend time with it. Notions of yellow pear and Golden Delicious apple partner with an herbal twist and refreshing citrus acidity.",Blanc,89,,Burgenland,Austrian white blend
42282,Austria,"Restrained yet ripe nuttiness with spikes of lemon zest characterize this slender, refreshing white. It is made from a typically Viennese field blend of 11 different white grape varieties—guaranteed to show its true and arresting colors with richer food.",Wiener Gemischter Satz,89,26,Vienna,Austrian white blend
45406,Austria,"Earthy notes of wild mushrooms, soy sauce and citrus peel make for an unusual nose on this blend of indigenous and rare Austrian varieties Rotgipfler and Zierfandler. Friendly, ripe and rounded yellow and red apples play on the palate of this unusual but very versatile wine.",Gumpoldskirchner Tradition,87,20,Thermenregion,Austrian white blend
49055,Austria,Lemon and apple lend shape to this clean and uncomplicated white that boasts a little spice on the midpalate.,Gemischter Satz,85,17,Südoststeiermark,Austrian white blend
49815,Austria,"A richly, aromatic wine, with honey and lemon aromas announcing a richly textured wine. Spice, dried apricots and honey mingle with acidity in this gloriously rich wine.",Trockenbeerenauslese,90,,Burgenland,Austrian white blend
50275,Austria,"Freshness and slight aromatics play against an earthy, phenolic palate.",Querfeldein,84,18,Thermenregion,Austrian white blend
55665,Austria,"A wonderfully friendly wine, with great acidity and a light perfume. Flavors of spiced pear, nutmeg segue to a delicious light, fresh finale. Screwcap.",Trie White,86,15,Burgenland,Austrian white blend
66380,Austria,"A perfumed wine, the blend an esoteric collection of grapes that include Weissburgunder, Welchriesling and Furmint. The wine is concentrated and rich, its spice and peach flavors intense and powerful. There's a ginger bite, with the acidity just a touch to finish.",Ried Vogelsang,90,17,Burgenland,Austrian white blend
72406,Austria,"A blend of local grapes (Zierfandler and Rotgipfler) this is impressive. Rich, perfumed, its fragrant fruits a medley of mulberry, pear and spiced apple. The acidity cuts right through, giving a wine that is both very ripe, balanced and finely textured. Screwcap.",Schell Mann in Gumpoldskirchen,92,24,Thermenregion,Austrian white blend
72675,Austria,"A blend of Sauvignon Blanc and Sämling, this gold straw colored wine is about freshness and acidity as much as about sweetness. That gives this ageworthy wine a great delicacy and poise, balanced and fresh, the honey botrytis texture attractively layered through this delicious wine.",Trockenbeerenauslese Essenz,92,35,Burgenland,Austrian white blend
72814,Austria,"Bright and attractively fruity, this has pear and green apple flavors, with a lemon zest tang. Drink over the next year. Screwcap.",Trie White,85,15,Burgenland,Austrian white blend
74138,Austria,"From grapes picked in February 2012, this light, delicate wine is still young, still finding its balanced acidity and fruit. It has a soft, almost gentle fruit and honey character that hides the intense acidity. It needs several years' aging.",Eiswein Exquisit,90,40,Burgenland,Austrian white blend
75670,Austria,"Aromas are all of honey, while on the palate the honey balances with acidity, rhubarb and candied orange flavors giving a wine that is rich while still keeping lightness. For medium-term aging.",Beerenauslese Exquisit,89,23,Burgenland,Austrian white blend
87020,Austria,"A perfumed wine, the blend an esoteric collection of grapes that include Weissburgunder, Welchriesling and Furmint. The wine is concentrated and rich, its spice and peach flavors intense and powerful. There's a ginger bite, with the acidity just a touch to finish.",Ried Vogelsang,90,17,Burgenland,Austrian white blend
123350,Austria,"A perfumed wine, the blend an esoteric collection of grapes that include Weissburgunder, Welchriesling and Furmint. The wine is concentrated and rich, its spice and peach flavors intense and powerful. There's a ginger bite, with the acidity just a touch to finish.",Ried Vogelsang,90,17,Burgenland,Austrian white blend
