,country,description,designation,points,price,province,variety
1737,France,"Lemon freshness encounters some honeyed richness. There's a hint of pleasant bitterness of honeycomb on the flavor, while the palate is streamlined with zesty lemon freshness. These create an intriguing and successful counterpoint on the dry, slender but expressive body.",Vieilles Vignes,90,32,Alsace,Auxerrois
2010,France,"The softest hint of apricot can be discerned on the nose. The palate reinforces this flavor with more soft stone fruit and just a touch of off-dry sweetness. The result is a very expressive, gently but deeply fruited, slender palate that will sing with spicy Asian dishes or soft cheeses. It offers wonderfully lasting flavor.",Vieilles Vignes,90,22,Alsace,Auxerrois
2728,France,"A touch of earth is bound up with the ripe, juicy and tart pear flavors. This wine is slender and clean with lemon freshness. The concentrated palate focuses on that crisp, ripe lemon note.",Trois Chateaux,89,24,Alsace,Auxerrois
3304,France,"Full-fruited, expressive notes of ripe pear shine on nose and palate. This wine has lively, attractive fruit notes and bags of freshness and flavor. The palate is clean but has a soft, fresh richness at its core that makes it very moreish. Lemon notes linger beautifully.",Trois Chateaux,89,24,Alsace,Auxerrois
4933,Germany,"Auxerrois, a grape variety rarely seen in the United States, shows it's fresh white grapefruit and pear flavors well in this brisk, revitalizing wine. Dry in style, it's a zesty, straightforward wine intended for early consumption.",Nitteler Rochusfels Trocken,87,16,Mosel,Auxerrois
11246,France,"A fresh nose suggests both green and yellow pears. The palate shines with the freshness of both fruits—crisp, sunny, light and very fruity. The finish is clean and very refreshing.",Vieilles Vignes,90,32,Alsace,Auxerrois
11544,US,"Very little Auxerrois is grown in Oregon, and the earliest plantings, the owners note, were here at Zenith. This could be mistaken for a Chardonnay, with ripe melon, peach and banana fruit matched to rounded out flavors of butter and caramel. It was barrel fermented and put through malolactic, much like a fine Chardonnay.",,90,27,Oregon,Auxerrois
13791,US,"Add Raptor Ridge to the slender ranks of Oregon wineries producing this off-the-radar Alsatian grape. Sourced from the Zenith vineyard and aged 11 months in neutral oak, this is a tightly wound, lightly spicy white wine. Crisp peppery highlights somewhat recall a domestic Grüner Veltliner, and the barrel aging has begun to round out the sharp edges. Drink now through 2020.",,89,30,Oregon,Auxerrois
19155,US,"Tart and spicy, the latest release of Adelsheim's iconic Auxerrois opens with grapefruit and lemon zest, shows excellent grip and length, and moves into subtle details of lime, citrus, and ginger. A unique and interesting wine, crisp as a new dollar bill.",Ribbon Springs Vineyard,90,22,Oregon,Auxerrois
28569,US,"This is another fine vintage for this rare wine. It's loaded with cool climate, mineral-laced scents of grapefruit, kiwi and melon. A whiff of fennel adds further interest. Super refreshing and a nice change from the ordinary sipping whites.",Ribbon Springs Vineyard,90,25,Oregon,Auxerrois
39458,France,"Although in the Alsace grape hierarchy, Auxerrois is the lowest of the low, it can, in the right hands, make a softly fruity wine with green plum and peach flavors. This is a fine apéritif style of wine.",Trois Châteaux,85,,Alsace,Auxerrois
46089,US,"Solid as ever, this lip-smackingly refreshing Auxerrois is brimming with fine flavors of apple, pear and peach. The cool vintage has lowered the alcohol a touch, and there is plenty of acidity. The fruit purity and compelling aromatics remain as good as ever.",Ribbon Springs Vineyard,90,22,Oregon,Auxerrois
74217,US,"Super fragrant, with lush scents of citrus, apple and a hint of vanilla, this excellent Auxerrois pushes confidently through the palate and into a well-defined, lengthy, slightly saline finish. Unique and delicious.",Ribbon Springs Vineyard,90,25,Oregon,Auxerrois
76725,US,"Tart and spicy, the latest release of Adelsheim's iconic Auxerrois opens with grapefruit and lemon zest, shows excellent grip and length, and moves into subtle details of lime, citrus, and ginger. A unique and interesting wine, crisp as a new dollar bill.",Ribbon Springs Vineyard,90,22,Oregon,Auxerrois
87643,US,"Auxerrois, a cross between Pinot Noir and Gouais Blanc, creates an aromatic, lively, citrus and pear fruit-flavored white wine with a delicious mix of fruit, spice and even a hint of white chocolate. Fresh and more interesting than many Chardonnays, this is a sure-fire crowd-pleaser at any picnic or barbecue.",Ribbon Springs Vineyard,89,22,Oregon,Auxerrois
95134,France,"Just off-dry, this ripe, yellow-fruited wine is smooth and immediately drinkable. Pinot Auxerrois, a clone of Pinot Noir mainly found in Alsace and neighboring Lorraine, gives a soft, rich and creamy wine that's laced with lightly herbal acidity.",Val St. Grégoire,86,,Alsace,Auxerrois
96955,France,"This soft, gentle wine is defined by its notes of pepper and spice. The light acidity is just a hint in the full, rounded palate.",Bollenberg,84,,Alsace,Auxerrois
