,country,description,designation,points,price,province,variety
370,France,"The nose is like pear juice spilled onto warm earth, while the palate is more citrus-focused. A seam of almost tropical acidity links lemon to notes of pineapple, lifted by joyful freshness.",Zind,90,30,Alsace,Alsace white blend
2734,France,"Lifted notes of dried pear, dried chamomile flowers and dried lemon peel have a strong impact. The palate comes in with lovely generous sweetness that amplifies that chamomile-tisane notion and boosts the dried-fruit notes. Against the distinctly medium-sweet fruitiness stands a clarion line of acidity. The evolution of fruit flavors weaves a colorful tapestry of aromas. This is carefully balanced and quietly intense. It holds immense strength at its core that radiates flavor and fruit. Made from a field blend of Alsace varieties, each adds something: aroma, texture, freshness and body. The finish is endless and very fruity. Have this with cheese or a subtle dessert. Drink now through 2035.",Altenberg de Bergheim Grand Cru,95,66,Alsace,Alsace white blend
2736,France,"An incredibly pure and piercing note of lemon oil hits the nose. The medium-sweet palate impresses with both fresh and dried notes of fruit: plum, white sultana, white currant and the ripest pear and apple you can imagine. This is full-on and big but balanced by tingling, fresh and precise acidity. A field blend of polar opposites, Riesling and Gewurztraminer, this unites their virtues of aromatic textured richness and poised finesse. Again, this is not a wine that is easily categorized with its medium-sweet, soil- and fruit-driven profile, but it is a joy to experience and savor. The finish lasts and lasts. Drink 2017–2035.",Altenberg de Bergheim Grand Cru,95,50,Alsace,Alsace white blend
3053,France,"The lifted nose seems like an amalgam of chalk and dried apples along with lemon zest. The aromas are reminiscent of evolving Riesling but this is not the only grape in this expressive and highly aromatic field blend. While there is distinct residual sweetness on the palate, this has a counterweight in the rich texture of the midpalate. There is something authentic and deeply comforting and satisfying at the core of this wine that says Alsace. It's impossible to put this wine into a box, it needs to be tasted and enjoyed on its very own terms. The finish is medium sweet, totally soil-driven and very, very long. This is an experience rather than a drink. Drink now through 2035.",Schoenenbourg Grand Cru,95,98,Alsace,Alsace white blend
3303,France,"Enticing aromas of freshly cut Cox Orange Pippin apples reach every corner of this easy, fruity wine. The palate is crisp yet full flavored, light-bodied and dry. The finish is lasting and superclean.",Alsace Dream,89,23,Alsace,Alsace white blend
3309,France,"Ripe notes of juicy yellow-pear waft from the glass The palate is equally full-fruited but comes with a dry, crisp and refreshing palate and a clean finish.",W3,89,15,Alsace,Alsace white blend
3946,France,"Hints of sultana and cooked quince reach the nose suggesting richness. The palate, however, responds with streamlined freshness, ripe fruit and depth and gives us concentration rather than richness. Tangy citrus zest frames notions of ripe apple and quince while shadows of dried fruit still haunt aromatically. The finish is clean, totally satisfying and dry. This is soaring but hearty stuff.",Langenberg,94,34,Alsace,Alsace white blend
4248,France,"Brilliant golden color promises richness. The nose obliges with a seamless scent of apples: fresh and ripe, baked and mellow. The palate shows soaring freshness, but countless notions swirl on the dry palate of this traditional field blend: citrus and apple, pear and blossom. There is so much fruit, so much expression, this is pure exuberance, but in a rather grown-up way. A very apt expression of both the freshness and the richness of Alsace.",Alsace,93,24,Alsace,Alsace white blend
4465,France,"The aroma recalls ripe, juicy pear peel. Likewise, the palate sings with ripe pear notes, framed by a phenolic texture and countered by lively freshness. This wine is brisk, clean and fruity.",Gentil,89,18,Alsace,Alsace white blend
4761,France,"The nose needs air but as it wakes up, subtle notes of fragrant baked peach rise. On the palate a streak of lemon freshness provides both frame and direction, alongside a lovely apple-skin texture. Made from a blend of Riesling, Pinot Gris and Gewürztraminer this unites the virtues of each variety. This is full of life and impresses with its great precision and freshness. The finish is bone dry. Lovely now but will age. Drink now through 2025.",Win.ck,93,27,Alsace,Alsace white blend
5113,France,"Slightly muddled pear and earth flavors appear on the nose. The palate is far more defined, with fresh pear notes and distant hints of pineapple. This is dry, full-fruited and fresh.",Côtes d'Ammerschwihr,88,18,Alsace,Alsace white blend
5363,France,"Faint pear notes on the nose lead to a savory, earthy but crisp palate. The finish is very clean, even cleansing. This will shine with food.",,88,12,Alsace,Alsace white blend
5930,France,"The nose is shy but subtly hints at citrus zest. The palate comes alive with subtle, fresh and very pure fruit: exquisitely accurate notions of mirabelle plum and beautifully aromatic tangerine. This is pure, streamlined and richly fruited, but done in a subtle grown-up way. A real joy to savor and drink. Finishes dry.",Cuvée 8,92,35,Alsace,Alsace white blend
6064,France,"The nose is shy but subtly hints at citrus zest. The palate comes alive with subtle, fresh and very pure fruit: exquisitely accurate notions of mirabelle plum and beautifully aromatic tangerine. This is pure, streamlined and richly fruited, but done in a subtle grown-up way. A real joy to savor and drink. Finishes dry.",Cuvée 8,92,35,Alsace,Alsace white blend
6748,France,Peach and rose-focused potpourri scent the nose. The palate has great direction and freshness and a rich textured core that almost comes across as oily. The result is a perfect contrast between tangy freshness and rich fruit. Bursting fruit and perfume are countered by zesty citrus. The flavors last and last and the finish is dry.,Gentil de Katz,92,18,Alsace,Alsace white blend
6993,France,Peach and rose-focused potpourri scent the nose. The palate has great direction and freshness and a rich textured core that almost comes across as oily. The result is a perfect contrast between tangy freshness and rich fruit. Bursting fruit and perfume are countered by zesty citrus. The flavors last and last and the finish is dry.,Gentil de Katz,92,18,Alsace,Alsace white blend
7038,France,Soft and spicy honeysuckle notes hover pleasantly. The palate shows the same aromatic overtones and has a sprightly freshness. The finish is dry and lively. Drink soon.,One,87,13,Alsace,Alsace white blend
7555,France,"Earthy notes of pear peel promise texture and the very crisp, bright palate delivers, but with edges of bitterness. The finish is wonderfully brisk. This wine will do so much better with food.",Cuvée 8,87,35,Alsace,Alsace white blend
